# iozone -+m iozone_config -a -i0 -i1 -i2 -i3 -i4- -i5 -i6 -i7 -i8 -i9 -i10 -i11 -i12 -g 1G
        Iozone: Performance Test of File I/O
                Version $Revision: 3.506 $
                Compiled for 64 bit mode.
                Build: linux-AMD64

        Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
                     Al Slater, Scott Rhine, Mike Wisner, Ken Goss
                     Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
                     Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
                     Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
                     Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
                     Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
                     Vangel Bojaxhi, Ben England, Vikentsi Lapa,
                     Alexey Skidanov, Sudhir Kumar.

        Run began: Tue Feb  4 11:54:54 2025

        Network distribution mode enabled.
        Auto Mode
        Selected test not available on the version.
        Using maximum file size of 1048576 kilobytes.
        Command line used: iozone -+m iozone_config -a -i0 -i1 -i2 -i3 -i4- -i5 -i6 -i7 -i8 -i9 -i10 -i11 -i12 -g 1G
        Output is in kBytes/sec
        Time Resolution = 0.000001 seconds.
        Processor cache size set to 1024 kBytes.
        Processor cache line size set to 32 bytes.
        File stride size set to 17 * record size.
                                                                    random    random      bkwd     record     stride
              kB  reclen    write    rewrite      read    reread      read     write      read    rewrite       read    fwrite  frewrite     fread   freread
           32768   16384   2877651   6126148   8747495   8984813   9231026   6063713   9495046    7307937    8593798   5129696   8153321   9697370   9902793
           65536      64   2348705   8938303  11441420  10141671  12244656   8398653  11926424   19229216   11751034   7997191   7838245  12865319  13644423
           65536     128   3241645   8748833  12547603  10638593  11857484   8524454  11437612   18049866   12040308   7679482   7793575  11087450  13191940
           65536     256   3181206   8622050  12328129  10437421  11850838   8736876  12325918   17245828   12440275   7472796   7338726  12598210  13031214
           65536     512   2703075   8867084  11560272  10340439  11309146   8998286  12372521   15652029   11369958   6918334   7372581  11937300  12782756
           65536    1024   3259210   8733267  12395396  10222383  11915567   8846822  12454930   16633252   12123148   7095673   7301105  12720643  12686005
           65536    2048   3233789   8337767  12511622  10439007  11208158   8808550  12075748   15592542   12775033   7366851   7259264  12047168  13047296
           65536    4096   2952761   8206338  11844711   9745091  11941968   8223031  11661300   13239595   22110859   6846648   6741035  11772171  12671385
           65536    8192   2738978   6754950  10836126   9370367  11055343   7297229   9826963    9874621   15648465   5224047   5698746  11401556  12007174
           65536   16384   2850992   6260057   8658442   7716346   9731980   6051806   9310381    7218469    8897220   6405647   6432630   9312905   8553367
          131072      64   2389777   9195423  12698548  10787816  12395621   8543903  12156605   20317826   12719408   7548914   7939536  13100713  13426753
          131072     128   2629645   9207744  10600398  10518661  11479600   9038200  12986519   18908322   13013263   7770421   7846278  13235708  11624020
          131072     256   3249516   9031963  12302419  10220826  11670659   8856201  12594690   17142474   12107343   7492841   7504808  10550556  12756300
          131072     512   3303229   8818696  12096155  10396721  12315096   8749781  11882294   16680089   12087113   7126561   7435381  12638411  13182073
          131072    1024   3248844   8671117  12369961  10378468  12265912   8699245  10560081   16692750   12414375   6923370   6802241  12991429  13159984
          131072    2048   3245392   8604480  12250878   9652492  11988794   8569607  12650335   15772740   12636087   7231173   7287827  11644456  13308119
          131072    4096   3056936   8044209  11559252  10003234  12020512   8271133  11992978   14343898   10638965   6224322   6724775  12323377  12720291
          131072    8192   3007683   7041578  11654083   9842411  11591179   7369400  11519771    9399173   14738838   5291160   5440928  11289592  12274950
          131072   16384   2863717   6330470   8886837   8345337   9449254   6607816   9332953    7269228    8931595   5459299   5712472   9559506  10009973
          262144      64   2264019   9000379  13321793  10939999  12169496   8357313  11747947   19986467   12774501   7739943   7625552  13291356  13669770
          262144     128   2748766   9094328  12946731  10695346  12394616   8484684  12762638   19745981   12481854   7643575   7708957  13542483  13492462
          262144     256   3300649   9058141  12758936  10381094  11781810   8840379  12659045   17092057   12439771    355944   7619844  12885585  13161057
          262144     512   3047192   8735239  12650452  10364263  12564295   8906764  12240623   16708682   12941550   7289847   7482327  12859062  13390420
          262144    1024   3059359   9016173  11588101   9959091  12607949   8830581  12885434   16261884   12575935   7366724   7580130  12983882  13417218
          262144    2048   3236591   8807097  12300327  10287846  12838941   8879933  12362841   15722850   12648706   7148932   7302483  13014928  13389768
          262144    4096   2964020   8342159  12730425   9942161  12250306   8487500  12846291   13407565   12682993   6498034   6478774  11353687  11355563
          262144    8192   2859552   7277543  11168359   9701104  11361078   7374382  12426836   10983056   12323350   5375013   5331927  11651342  12552390
          262144   16384   2645226   6544758   9377353   8490253   9416383   6448831   9767636    7231164    9328583   5422355   5427976   9327316   9600222
          524288      64   1950803   9252897  13295037  11022573  12297425   8523484  12784364   19873719   11775678   8021919   8035080  13951971  14208347
          524288     128   3102258   9218723  12976512  10735908  12724444   8896811  13080718   19405805   12986398   7942187   7963787  13927141  13855448
          524288     256   3175421   9276003  12795299  10521954  12220611   8956346  11290312   16284259   12573764   7696324   7687285  13245627  13105196
          524288     512   3051821   9012877  12712160  10441665  12447784   8919655  12956862   16357909   12889045   7530932   7562867  13495510  13031650
          524288    1024   3303663   9110295  13230883  10659305  13165454   9293880  13428509   16685330   13032267   7678507   7743481  13613646  13610107
          524288    2048   3341819   8996763  12822531  10586539  12820588   8888935  13544386   17139189   13535548   7362156   7624436  13429903  13556994
          524288    4096   3231216   8439513  11782303  10338332  12779980   8392231  12848003   13847683   12951139   6646389   6748123  12851382  13035821
          524288    8192   3022758   7293735  11893503   9706020  12118046   7228378  12641711   10981016   12068434   5281482   5321537  12437435  12756997
          524288   16384    542643   6494672   9739163   8425415   9934247   6651476  10310701    7316717   10111623   5295893   5308114  10227025   9435932
         1048576      64   1895353   9238956  13313704  10848771  12113734   8441615  12971988   19755331   12940728   7992919   7984778  14023989  14259565
         1048576     128   3031801   9449694  13043778  10785928  12711234   8980832  12537662   18374129   12606266   7554304   7644352  13236411  13865661
         1048576     256   2792806   8998472  12489135  10405838  12228011   9063431  12132782   16214247   12465383   7817542   7434711  13249809  12835884
         1048576     512   2869641   8671145  12903634  10091873  12166581   8125663  12626134   15233397   12675734   7325172   7346818  12973060  12791570
         1048576    1024   2778184   9045833  12061080  10198065  12216598   8905329  12832251   15666530   12725136   7349507   7665256  13468473  13548007
         1048576    2048   2999324   9059044  12571349  10055877  12557673   8877969  13255999   16718617   13476768   1206158   7621910  12703377  13247295
         1048576    4096   2921044   8535689  12567577  10349469  12853177   8619753  13107181   14968312   13217555   6874957   6860297  13423132  13209060
         1048576    8192   2745560   7357646  12111199  10109387  12639379   7487160  12940919   10915628   12850173   5361341   5318505  12622474  11984404
         1048576   16384   2449555   6519943   9850493   8413581  10059626   6641861  10402860    7239203   10335071   5227456   5254675  10270582  10239020

iozone test complete.
Timer resolution is poor. Some small transfers may have
reported inaccurate results. Sizes 64 kBytes and below.
