admin@master:~$ iozone -+m iozone_config -a -i0 -i1 -i2 -i3 -i4- -i5 -i6 -i7 -i8 -i9 -i10 -i11 -i12 -g 1G
        Iozone: Performance Test of File I/O
                Version $Revision: 3.506 $
                Compiled for 64 bit mode.
                Build: linux-AMD64

        Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
                     Al Slater, Scott Rhine, Mike Wisner, Ken Goss
                     Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
                     Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
                     Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
                     Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
                     Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
                     Vangel Bojaxhi, Ben England, Vikentsi Lapa,
                     Alexey Skidanov, Sudhir Kumar.

        Run began: Sun Feb  2 16:09:21 2025

        Network distribution mode enabled.
        Auto Mode
        Selected test not available on the version.
        Using maximum file size of 1048576 kilobytes.
        Command line used: iozone -+m iozone_config -a -i0 -i1 -i2 -i3 -i4- -i5 -i6 -i7 -i8 -i9 -i10 -i11 -i12 -g 1G
        Output is in kBytes/sec
        Time Resolution = 0.000001 seconds.
        Processor cache size set to 1024 kBytes.
        Processor cache line size set to 32 bytes.
        File stride size set to 17 * record size.
                                                                    random    random      bkwd     record     stride
              kB  reclen    write    rewrite      read    reread      read     write      read    rewrite       read    fwrite  frewrite     fread   freread
           16384     128   3574893   7731883   7713657  11779527   9106976   6282173   9876601   17905929   11719262   6595715   6423097  11176069  12092526
           16384     256   3460926   7258993   6470878  10771405  11968269   7495738   7710195   16366434   10152378   4569173   6054683   8225143  11402305
           16384     512   3697616   7687769  10639656  11677441  10960383   8075328   7899874   15254703   10503059   6532390   4248025   8605202  11465082
           16384    1024   3371278   7258993  12961523  12602590   7403675   7602716   6954141   11635919   27088979   6574890   6171037   6313339   9443632
           16384    2048   2742547   6556072  11252933  11924656   7918992   8163585   9335863   10008945   26210743   4223742   5809993  10923795  11579060
           16384    4096   3039634   5864034   9959624  12545073   9091314   7540151   9183651   10482232   16716790   6598248   5237842   9547281  11330862
           16384    8192   2837560   5953446   9638337  10304615   4801929   5630064   8392905    6860418   10865073   5430306   7049738   7757194   8775530
           16384   16384   2713095   5808029   5770960   7142056   6211196   4249075   7960271    5722900    6895526   5350814   5655548   7713657   8497728
           32768      64   3520031   8454241  11461072  12641777  13023925   8210307  12670915   18799426    8759203   7392050   6822211  12042521  12760322
           32768     128   3676823   7437251  12145750  13303798  10673373   7471211  11088431   15929769   10516565   6197977   6647975  12140386  11028815
           32768     256   3481158   7433630  10176286  13007900   7588781   6464124  10861471   15627287   10230066   6269222   5824472  11977453  11241709
           32768     512   3636354   7739200  10711638  13212989  13979014   8551024  12056254   15135105   13838264   7100291   6410158  10954972  12686119
